raman_shift_cm-1,intensity
200.000000,0.01217944974
201.000000,0.0136264221
202.000000,0.004967078237
203.000000,0.009797955397
204.000000,0.01210154913
205.000000,0.01277861996
206.000000,0.01138214028
207.000000,0.01306902764
208.000000,0.01065493677
209.000000,0.01117778674
210.000000,0.01043295998
211.000000,0.007928000599
212.000000,0.008382694731
213.000000,0.0108353571
214.000000,0.008916035431
215.000000,0.01261976712
216.000000,0.01266167739
217.000000,0.01367471804
218.000000,0.01002524018
219.000000,0.01284505121
220.000000,0.008266190605
221.000000,0.008445493984
222.000000,0.01024097749
223.000000,0.01064148237
224.000000,0.006880894771
225.000000,0.006617675178
226.000000,0.01078953392
227.000000,0.008355255966
228.000000,0.01249660266
229.000000,0.01086923885
230.000000,0.01069477506
231.000000,0.01049755196
232.000000,0.01187187925
233.000000,0.009775100645
234.000000,0.01225272031
235.000000,0.009029896632
236.000000,0.009631998324
237.000000,0.008721253421
238.000000,0.01127785921
239.000000,0.01015457716
240.000000,0.008358549385
241.000000,0.01408711984
242.000000,0.00935620998
243.000000,0.009851318227
244.000000,0.01087252872
245.000000,0.01357978408
246.000000,0.009787999766
247.000000,0.01149142001
248.000000,0.0102829324
249.000000,0.007158044347
250.000000,0.01166987791
251.000000,0.01212749544
252.000000,0.00960653959
253.000000,0.01005593654
254.000000,0.007084475847
255.000000,0.007041504911
256.000000,0.009304671562
257.000000,0.01133988267
258.000000,0.009149173058
259.000000,0.01067267629
260.000000,0.01202447543
261.000000,0.01028077765
262.000000,0.01123850368
263.000000,0.01298563006
264.000000,0.00759814489
265.000000,0.01157867138
266.000000,0.006321474167
267.000000,0.01095445273
268.000000,0.01049748313
269.000000,0.009005152695
270.000000,0.007937526627
271.000000,0.00996882324
272.000000,0.009272342832
273.000000,0.01028840032
274.000000,0.008277892822
275.000000,0.01118489238
276.000000,0.008022480871
277.000000,0.009486056737
278.000000,0.009310899387
279.000000,0.01263100101
280.000000,0.007104191278
281.000000,0.00926788646
282.000000,0.01246121306
283.000000,0.008779969275
284.000000,0.007618071949
285.000000,0.0106630621
286.000000,0.009517685706
287.000000,0.01176762628
288.000000,0.008257708575
289.000000,0.01048070231
290.000000,0.01143149612
291.000000,0.01217106537
292.000000,0.007887714065
293.000000,0.0129479676
294.000000,0.008299384987
295.000000,0.007076068148
296.000000,0.008192424546
297.000000,0.01041165802
298.000000,0.009458790559
299.000000,0.01098367215
300.000000,0.0110943725
301.000000,0.01073986289
302.000000,0.009594928954
303.000000,0.01373255458
304.000000,0.005672748386
305.000000,0.006636537271
306.000000,0.009091886415
307.000000,0.007595649843
308.000000,0.004994662884
309.000000,0.008516808916
310.000000,0.008608859377
311.000000,0.005210721722
312.000000,0.01182564838
313.000000,0.01270693206
314.000000,0.01257775895
315.000000,0.009092927527
316.000000,0.01040528885
317.000000,0.007868903136
318.000000,0.01052386083
319.000000,0.008763101656
320.000000,0.01093168855
321.000000,0.00942645093
322.000000,0.01218038743
323.000000,0.01176656886
324.000000,0.01259172734
325.000000,0.006903734799
326.000000,0.006475604088
327.000000,0.01092479929
328.000000,0.008961494368
329.000000,0.01091197662
330.000000,0.01071458864
331.000000,0.010477769
332.000000,0.01195636256
333.000000,0.01123160907
334.000000,0.0110637929
335.000000,0.008331790212
336.000000,0.01356929398
337.000000,0.01037372847
338.000000,0.01233514217
339.000000,0.01077572467
340.000000,0.01266087271
341.000000,0.01042976853
342.000000,0.01055847994
343.000000,0.01039945085
344.000000,0.008707035712
345.000000,0.008980936612
346.000000,0.009831652001
347.000000,0.009892171905
348.000000,0.008161336321
349.000000,0.01484045414
350.000000,0.008165179945
351.000000,0.00951652929
352.000000,0.01501971227
353.000000,0.008810378318
354.000000,0.01166225268
355.000000,0.01145277136
356.000000,0.009715595615
357.000000,0.007274417726
358.000000,0.007026871689
359.000000,0.01011773655
360.000000,0.01097585963
361.000000,0.005822651031
362.000000,0.01044125484
363.000000,0.008827987287
364.000000,0.01192732238
365.000000,0.01049032535
366.000000,0.008535434156
367.000000,0.009291925862
368.000000,0.01023667364
369.000000,0.01284005005
370.000000,0.01624309734
371.000000,0.01087469647
372.000000,0.01040265877
373.000000,0.01156876835
374.000000,0.01023593818
375.000000,0.0115657031
376.000000,0.01108370933
377.000000,0.01032129504
378.000000,0.008734222203
379.000000,0.01064737707
380.000000,0.01213743516
381.000000,0.01048535978
382.000000,0.01336650352
383.000000,0.01222588547
384.000000,0.01008251795
385.000000,0.01382443615
386.000000,0.008101300839
387.000000,0.01269633933
388.000000,0.01407026915
389.000000,0.009854444355
390.000000,0.01016076368
391.000000,0.01224600776
392.000000,0.01323744263
393.000000,0.01126552413
394.000000,0.01087090879
395.000000,0.01222929053
396.000000,0.01091903244
397.000000,0.007984476641
