raman_shift_cm-1,intensity
200,300.9794415
201,298.3696394
202,299.743526235
203,300.2025054
204,300.036114424
205,301.8504059
206,301.45374755
207,298.141671
208,300.6822632
209,300.0293516605
210,297.19688865
211,300.93293675
212,301.71566385
213,300.94932175
214,301.55588545
215,302.33530925
216,297.36023115
217,298.29456885
218,301.17322575
219,300.52652715
220,302.42145645
221,302.1784552
222,292.9828335
223,295.7396953
224,303.59661265
225,302.6364359
226,302.0330164
227,300.7886997
228,300.7529428
229,297.33938675
230,301.3436163
231,302.980849
232,296.1596696
233,297.9963435
234,300.2017088
235,302.1762366
236,302.996935
237,297.23117515
238,299.08836445
239,299.67523302
240,299.1041054
241,301.3841681
242,300.39407684
243,295.3677847
244,300.017697406
245,304.46385225
246,299.83456055
247,302.47745385
248,297.9701151
249,297.82777055
250,301.89723385
251,300.143405835
252,299.0784035
253,297.7209983
254,299.943548145
255,302.30684645
256,301.08137735
257,298.0495926
258,297.60875115
259,302.5602263
260,300.7249522
261,299.4271288
262,301.0682769
263,300.54385625
264,296.2316278
265,298.0439599
266,302.91813805
267,297.15075635
268,299.870746635
269,302.9003217
270,299.63601962
271,298.7535
272,298.27036485
273,299.3525534
274,303.50777625
275,301.5471226
276,299.45661355
277,299.720499535
278,301.04178645
279,300.0369985585
280,297.7984433
281,301.4800324
282,300.139781635
283,297.56248855
284,299.405686
285,303.0177266
286,304.38269285
287,297.78019475
288,296.6066306
289,302.65787085
290,299.50003879
291,301.93155125
292,299.71475097
293,297.93056845
294,301.86583605
295,298.92706115
296,301.1656471
297,300.6956739
298,298.01585895
299,300.99105845
300,300.79792415
301,300.58735635
302,297.10892205
303,296.79849105
304,300.7345619
305,300.9795311
306,301.2066244
307,299.79061737
308,299.01548025
309,302.42357485
310,298.88438755
311,294.625212
312,301.8172186
313,303.55091095
314,300.40132887
315,300.1910008
316,298.71299775
317,299.4881251
318,299.40713275
319,298.71343455
320,300.4320036
321,301.4829566
322,301.7322632
323,301.95327455
324,300.6587292
325,297.8708234
326,295.4291534
327,299.3677101
328,304.19096415
329,300.63885735
330,299.29557025
331,302.0997715
332,301.85803285
333,296.6377911
334,296.764062
335,298.99710315
336,302.99699095
337,301.08511635
338,300.322272675
339,300.8474669
340,296.6792059
341,300.14087009
342,302.2286403
343,299.81900416
344,299.3609787
345,299.23161765
346,302.25406285
347,298.23358115
348,297.0378943
349,302.77873635
350,298.81526495
351,298.8725012
352,303.21456495
353,301.0407511
354,297.71319005
355,299.41641195
356,300.6193189
357,299.918387785
358,302.67489215
359,300.29535772
360,297.9976165
361,298.98701085
362,298.8314421
363,297.83538325
364,301.8679633
365,301.12902985
366,298.8325233
367,300.483329835
368,301.09116455
369,303.3178724
370,299.1458828
371,297.2222634
372,297.5117795
373,300.89024525
374,302.08940845
375,300.16866395
376,300.83514445
377,300.455798375
378,300.78809255
379,299.90192383
380,296.8626881
381,299.33236175
382,300.3748641
383,300.27250997
384,301.4221742
385,298.70057935
386,299.68495278
387,301.9917653
388,300.46262976
389,297.4137766
390,298.2761368
391,302.10491125
392,300.208798215
393,298.9488461
394,303.96484845
395,301.744353
396,296.990475
397,300.44014011
398,298.31175555
399,297.57004305
400,303.85496165
401,302.6037943
402,301.9494072
403,301.57407945
404,294.440451
405,295.803393
406,302.09858705
407,299.89588808
408,297.12073785
409,302.7377095
410,303.8073121
411,297.4159639
412,297.39754055
413,301.06016385
414,301.3026835
415,301.6401053
416,300.13557882
417,296.4654116
418,298.4956025
419,302.56454925
420,303.75892045
421,296.80219995
422,297.8847498
423,301.4153821
424,298.80474095
425,301.6533662
426,299.1275954
427,299.05788035
428,302.6832833
429,304.09031505
430,300.136442735
431,293.095613
432,299.17113325
433,303.3398351
434,299.56410291
435,300.827296
436,300.0443112895
437,298.3917172
438,302.7333592
439,301.7479548
440,297.77553765
441,300.008955976
442,299.30072585
443,296.58120185
444,299.4826766
445,301.4378381
446,302.7737076
447,301.9849169
448,297.55872465
449,297.9033934
450,303.6888971
451,301.50389375
452,296.05951885
453,300.412764075
454,301.255654
455,298.8508462
456,302.67430995
457,301.4320827
458,298.78038675
459,297.901453
460,298.90540165
461,300.264195785
462,300.28215862
463,300.89296105
464,297.3700521
465,300.81352845
466,300.286473865
467,298.7360161
468,301.4454101
469,300.57980375
470,298.87053485
471,299.661397085
472,298.34993385
473,301.6075224
474,302.06814745
475,299.41513995
476,300.38378159
477,298.53758425
478,298.64671465
479,302.63756525
480,300.029122373
481,300.0058010595
482,301.28230295
483,299.0126626
484,299.05241465
485,298.66050795
486,300.6981088
487,299.09040225
488,301.62854125
489,299.17249385
490,297.6221524
491,303.7692046
492,302.915315
493,298.7913829
494,297.9998539
495,298.971435
496,300.99801815
497,299.74300743
498,299.1180734
499,300.40958869
500,300.51151845
501,295.9044438
502,303.0981899
503,307.209279
504,295.8416143
505,296.81097915
506,300.83582685
507,302.26806615
508,301.87355005
509,297.62270155
510,297.1762541
511,298.12630395
512,300.232926265
513,301.2102108
514,302.40537665
515,303.22344625
516,299.03927665
517,297.87596125
518,297.6846087
519,296.77898975
520,302.01950255
521,300.6704676
522,300.28220118
523,300.103219205
524,299.34218635
525,301.2688564
526,300.9660678
527,300.5603312
528,299.919837975
529,299.32412645
530,299.12938295
531,302.0948517
532,299.0165478
533,299.1487476
534,301.1001555
535,300.7562791
536,296.89898575
537,298.1323099
538,302.730579
539,301.0315447
540,298.4842291
541,298.9462706
542,303.2475855
543,301.76677055
544,296.9777332
545,299.3075207
546,306.033188
547,301.24707015
548,295.180177
549,296.4346665
550,298.32062925
551,302.42531974999997
552,301.28179575
553,298.36156955
554,301.51105455
555,298.0037231
556,299.33613435
557,304.0090084
558,304.38005
559,299.44370535
560,293.502776
561,299.42674175
562,303.51549905
563,298.69896705
564,301.1075769
565,302.1759094
566,296.18151835
567,299.72963851
568,302.2864622
569,298.08200755
570,298.9445347
571,302.27898585
572,298.59928445
573,300.26482356
574,301.49114825
575,303.5972871
576,301.45644885
577,298.3899066
578,296.6495398
579,295.90622075
580,299.584250125
581,300.402954445
582,301.91766285
583,302.09750195
584,300.17660472
585,298.6829857
586,301.41650955
587,300.9722072
588,297.72644765
589,301.34626095
590,300.20985693
591,301.5632421
592,302.1261531
593,296.34039395
594,301.67713805
595,304.66687865
596,298.5095161
597,295.1810817
598,302.1084811
599,303.19982815
600,298.8493051
601,302.20236835
602,301.6478891
603,296.3135517
604,296.4738528
605,301.8717407
606,306.9633505
607,302.33315665
608,296.42363255
609,302.8828623
610,305.447704
611,302.07206075
612,303.6280292
613,305.6444845
614,304.96339315
615,311.3437335
616,313.2152295
617,307.8223685
618,310.9031925
619,309.436834
620,299.94041985
621,291.1275605
622,289.593337
623,290.068083
624,287.890781
625,291.8929415
626,291.1759345
627,294.7364355
628,298.69502365
629,296.4420825
630,298.108186
631,298.6133867
632,295.9406185
633,298.4047054
634,301.4884566
635,297.5274322
636,299.987615718
637,298.3146155
638,297.88662365
639,301.1658698
640,297.7126429
641,297.600119
642,297.76090195
643,301.67172215
644,299.82974983
645,299.2526477
646,302.49967715
647,302.6337857
648,302.1632251
649,297.2889013
650,299.77846835
651,300.44425064
652,296.6205162
653,297.90930965
654,298.69115935
655,302.21973215
656,302.4480437
657,296.5030582
658,300.7112915
659,301.5626704
660,298.81125055
661,298.91639855
662,300.5114172
663,301.88718425
664,298.17368365
665,299.2974354
666,302.1545501
667,301.528343
668,298.56962275
669,298.30282565
670,297.1148101
671,301.06100725
672,302.9301215
673,299.27757775
674,298.96120645
675,299.40480675
676,301.5199697
677,302.3543334
678,296.5182158
679,298.6152065
680,303.8043877
681,302.1327642
682,298.7233056
683,299.1074696
684,300.833717
685,297.0620812
686,297.47752315
687,301.2564236
688,303.50719475
689,301.6147724
690,298.8556669
691,296.97590505
692,298.2193321
693,299.794574635
694,302.0359733
695,303.10079395
696,299.63314336
697,298.79006585
698,298.19862685
699,299.02410555
700,301.44317225
701,301.6910844
702,300.062121365
703,296.90892365
704,302.043015
705,303.7896452
706,297.6862013
707,299.81444766
708,301.42399885
709,299.93415856
710,299.572291875
711,299.8879591
712,300.93466365
713,299.2105557
714,297.99692275
715,302.01586395
716,302.15780535
717,297.04444045
718,297.10579775
719,300.32149059
720,300.261859795
721,301.64227575
722,301.68872505
723,297.85598785
724,298.2409316
725,302.0222512
726,301.52408655
727,297.18591765
728,298.84392575
729,299.57732439
730,304.2112676
731,302.07537195
732,295.93152745
733,298.7165161
734,298.7177153
735,299.535546815
736,302.8137026
737,299.3557316
738,299.0275162
739,302.3597701
740,300.98244365
741,299.40219595
742,301.3356
743,300.9422446
744,298.2182967
745,299.0962915
746,300.49198227
747,301.71707455
748,301.46107695
749,298.5337603
750,296.29977925
751,299.66298813
752,300.422962375
753,300.83289315
754,302.04444905
755,298.1969538
756,298.9771797
757,304.9306855
758,300.120496565
759,297.99191815
760,302.69159055
761,298.5271398
762,299.2960879
763,300.16526259
764,300.91898415
765,298.0328609
766,300.30142982
767,303.4456673
768,297.72871755
769,298.4222297
770,302.365922
771,300.89661355
772,298.34333125
773,300.314411365
774,300.05125639
775,299.4028303
776,301.3974081
777,302.8518888
778,300.269715365
779,299.741533875
780,299.55637548
781,303.1868468
782,301.1865693
783,299.05629485
784,301.9111426
785,303.26527485
786,305.468535
787,300.6211905
788,300.008580284
789,306.320148
790,307.242276
791,305.6934765
792,301.9905552
793,301.01774115
794,307.0363805
795,301.6247468
796,295.42129765
797,294.791641
798,294.554823
799,295.6350412
800,293.490761
801,296.5258258
802,298.89249665
803,296.63568875
804,297.49257575
805,297.7942102
806,296.98493175
807,300.61456945
808,298.4789818
809,294.3458535
810,301.9214753
811,301.59084945
812,295.67910215
813,296.9788367
814,302.74499095
815,306.197863
816,298.6565003
817,294.905865
818,299.860227505
819,302.93205885
820,300.659335
821,296.90121575
822,299.687350045
823,300.298690995
824,300.037333935
825,300.331562755
826,299.546300285
827,298.620449
828,298.50520605
829,302.7894353
830,301.09424145
831,299.69722533
832,300.85772155
833,300.56801935
834,298.4332042
835,296.953624
836,296.9920053
837,301.58984365
838,303.94486815
839,299.51001384
840,299.48592085
841,301.4050269
842,299.619669225
843,296.2495481
844,300.58471745
845,304.9463208
846,298.8611095
847,298.5804156
848,300.78793175
849,298.9945553
850,298.00562255
851,300.893969
852,301.81883545
853,297.26087895
854,300.131510965
855,299.991678005
856,299.698806715
857,302.81024125
858,296.22300005
859,299.88728837
860,303.0903629
861,296.10841125
862,303.63408585
863,304.66745685
864,294.3628445
865,298.53956705
866,304.77412145
867,297.55614875
868,295.71888755
869,301.14146475
870,302.6837702
871,300.5019889
872,296.83517935
873,298.81872095
874,303.0131724
875,301.73652785
876,298.8058274
877,297.41128585
878,302.04022375
879,299.5720097
880,299.2396408
881,301.64578835
882,299.625868995
883,300.725802
884,296.00355435
885,300.5046281
886,305.018847
887,301.9322504
888,300.29539087
889,296.8580784
890,298.6795497
891,302.18120675
892,299.71570253
893,298.34537385
894,298.4210133
895,301.7361803
896,302.27203645
897,295.75379055
898,297.3540968
899,300.91006025
900,298.9409326
901,302.1813937
902,301.29997335
903,299.08097595
904,302.92318385
905,301.79656855
906,297.9669648
907,298.43967505
908,302.25604045
909,302.9820096
910,299.705061055
911,297.29174345
912,300.342735365
913,300.41203306
914,298.71468195
915,298.78979625
916,302.86452455
917,300.8797155
918,298.74660065
919,299.658307115
920,299.593551465
921,300.6295483
922,298.27916195
923,300.8827127
924,301.21695005
925,298.9550488
926,298.5017877
927,299.43982165
928,300.6602246
929,301.47051705
930,300.23346121
931,300.5914979
932,300.7214819
933,298.3568819
934,298.24776025
935,300.514211
936,300.44913236
937,298.17051365
938,301.9970409
939,300.489529345
940,297.7941941
941,299.879425165
942,304.6547974
943,302.2405947
944,294.1464555
945,296.3305223
946,302.7295814
947,302.5474692
948,298.6548137
949,300.42359181
950,298.50363895
951,303.3356297
952,301.8606314
953,296.2490531
954,302.3481302
955,299.513947835
956,300.454520565
957,302.89682525
958,298.0443816
959,299.71444069
960,300.44706897
961,303.1583882
962,301.1937841
963,294.949754
964,299.1501839
965,301.1018649
966,301.58532415
967,298.10064425
968,297.6359546
969,300.7736519
970,300.96226335
971,303.6242243
972,302.8988678
973,298.48185895
974,294.9443655
975,300.9273769
976,301.5787374
977,301.235169
978,300.94050755
979,299.83582325
980,302.8683709
981,301.42694525
982,301.1908661
983,304.5006133
984,302.1780863
985,298.2965731
986,300.6316946
987,304.83841705
988,304.02705885
989,307.307269
990,308.626256
991,305.147586
992,310.9894395
993,310.291909
994,317.800432
995,332.8386615
996,341.3923615
997,357.98289
998,381.8523
999,397.86422
1000,373.78441499999997
1001,302.9626837
1002,224.578205
1003,197.1557
1004,220.20204
1005,243.120875
1006,259.2750205
1007,274.1292295
1008,282.7690215
1009,285.5701435
1010,288.537983
1011,292.090174
1012,293.418578
1013,296.9504636
1014,296.94377025
1015,297.173582
1016,302.64214915
1017,298.08333185
1018,299.11559765
1019,303.5445661
1020,302.15435035
1021,301.8694162
1022,305.3754275
1023,307.1679765
1024,308.585731
1025,311.037636
1026,319.498717
1027,327.0053535
1028,329.5949625
1029,337.5349725
1030,327.017304
1031,298.86054105
1032,272.0560985
1033,262.9481215
1034,268.17811
1035,276.76822500000003
1036,280.757334
1037,283.957032
1038,289.5995175
1039,290.716346
1040,294.580654
1041,295.69948805
1042,293.592857
1043,297.5602156
1044,298.8783947
1045,298.12691285
1046,301.67785715
1047,301.3664982
1048,298.587128
1049,299.0733002
1050,296.57354115
1051,296.5542764
1052,301.25011885
1053,302.84437375
1054,300.458315805
1055,298.7794039
1056,297.7865601
1057,296.26932355
1058,301.61315095
1059,303.3179587
1060,300.75655675
1061,299.2817394
1062,296.1757202
1063,299.878801275
1064,299.970935396
1065,297.440359
1066,301.8509134
1067,301.146207
1068,297.21660665
1069,300.447119845
1070,301.24030805
1071,297.34544925
1072,301.6337118
1073,301.9220183
1074,298.87021725
1075,302.08056845
1076,300.70080215
1077,299.40048395
1078,301.0522763
1079,300.015979088
1080,299.847537135
1081,297.58486165
1082,299.994309093
1083,300.25137239
1084,297.03849785
1085,301.00219135
1086,299.80483433
1087,299.226306
1088,299.983264919
1089,300.18372839
1090,301.1194718
1091,300.360860745
1092,300.6800269
1093,299.08096565
1094,299.427371
1095,302.7746937
1096,299.63005388
1097,297.89234415
1098,299.68382167
1099,301.43886225
1100,300.080888155
1101,296.35863870000003
1102,301.2373989
1103,303.35553565
1104,299.635560575
1105,297.919861
1106,300.247549895
1107,300.7810865
1108,300.20810718
1109,298.8480114
1110,298.37629415
1111,301.7226343
1112,302.0570879
1113,297.7311255
1114,297.6644524
1115,303.2911348
1116,302.65281765
1117,298.73524595
1118,298.4559318
1119,299.4593889
1120,300.8430711
1121,300.40782196
1122,299.91041041
1123,301.75996645
1124,300.83421635
1125,299.31835095
1126,300.6978402
1127,301.79190505
1128,300.14639851
1129,298.48759975
1130,297.6862888
1131,300.74074555
1132,300.56585365
1133,299.1765655
1134,302.5885534
1135,298.1142456
1136,299.57937058
1137,301.1605113
1138,301.4399355
1139,305.126242
1140,299.25840905
1141,299.592271905
1142,302.6276374
1143,300.319128335
1144,301.88974275
1145,303.61043985
1146,302.7178387
1147,302.9893079
1148,300.41024907
1149,305.2484075
1150,309.067013
1151,310.8720235
1152,309.766059
1153,307.338556
1154,308.3429715
1155,299.0597435
1156,291.682608
1157,292.348852
1158,290.9977365
1159,290.46002
1160,293.538019
1161,294.2100215
1162,296.743977
1163,298.71805905
1164,295.96476575
1165,294.3271865
1166,301.1817256
1167,303.23957855
1168,294.7418215
1169,298.56445485
1170,303.29790245
1171,297.6101892
1172,302.99162575
1173,303.81973075
1174,297.9316959
1175,302.7199151
1176,303.4410068
1177,305.2648505
1178,307.1865845
1179,303.56531045
1180,306.516044
1181,308.892761
1182,306.597946
1183,301.87016705
1184,293.789361
1185,291.0232945
1186,291.4153745
1187,292.4470405
1188,295.82223775
1189,295.1577934
1190,293.5640575
1191,296.167708
1192,301.23732555
1193,301.0096017
1194,298.5426747
1195,298.4580267
1196,297.63422635
1197,299.02748355
1198,297.83146785
1199,298.24862455
1200,303.6638379
1201,301.4623381
1202,294.548951
1203,295.49145775
1204,300.5676988
1205,299.781157375
1206,302.65052085
1207,301.60235675
1208,298.8375126
1209,301.9300273
1210,301.34502415
1211,300.28818496
1212,297.00721475
1213,295.77843685
1214,299.1948938
1215,301.35848815
1216,300.9411915
1217,301.76221845
1218,301.16637735
1219,299.517133805
1220,297.0915855
1221,298.6568653
1222,299.61031561
1223,300.47109501
1224,303.9571552
1225,300.110549
1226,299.3843722
1227,299.539369235
1228,297.4952895
1229,300.9693191
1230,299.0913211
1231,299.47355115
1232,298.7652623
1233,300.75564285
1234,302.1859713
1235,297.86745855
1236,302.2445726
1237,300.213724775
1238,298.85888905
1239,300.86278835
1240,299.0116352
1241,297.6389131
1242,298.82349255
1243,302.0759278
1244,301.66119155
1245,300.9456418
1246,300.425722495
1247,297.59396885
1248,301.3518155
1249,300.273631175
1250,297.52771295
1251,302.26015195
1252,300.8366205
1253,298.2671421
1254,299.27940405
1255,300.71830135
1256,300.41383781
1257,299.09033275
1258,303.78655925
1259,303.05485115
1260,297.50397645
1261,297.412152
1262,299.67069619
1263,300.0950943
1264,299.45315005
1265,303.077303
1266,302.5395594
1267,298.08406625
1268,298.4184597
1269,300.416994495
1270,298.0494256
1271,298.44809625
1272,298.22317235
1273,298.50043265
1274,302.0260208
1275,300.30119996
1276,299.904740845
1277,301.08295995
1278,299.3884914
1279,300.46397458
1280,301.36451535
1281,298.0649849
1282,299.902120815
1283,303.77006755
1284,299.924830155
1285,295.9731464
1286,300.601438
1287,302.25161415
1288,297.28637655
1289,301.72525235
1290,302.5715809
1291,295.67624995
1292,300.9242166
1293,303.1565438
1294,299.44459785
1295,298.1229275
1296,298.6032036
1297,303.83957765
1298,303.31160685
1299,295.4732577
1300,298.40341385
1301,303.5343471
1302,301.5089958
1303,299.736559895
1304,296.12596125
1305,298.20239695
1306,301.84785155
1307,300.456528905
1308,298.69127035
1309,296.30799385
1310,302.8562495
1311,301.50417405
1312,297.3475199
1313,301.47553225
1314,302.09634335
1315,300.8454196
1316,300.704787
1317,301.3342072
1318,300.305218655
1319,299.554501055
1320,298.1450817
1321,300.0492993325
1322,301.679744
1323,294.5951855
1324,297.21077735
1325,302.8409534
1326,301.6153181
1327,305.014847
1328,298.84910795
1329,298.0686798
1330,301.3252233
1331,298.54928385
1332,299.9558071035
1333,299.3733567
1334,299.96110978
1335,301.4094888
1336,301.2882808
1337,293.719552
1338,298.5524227
1339,304.67182760000003
1340,299.7293087
1341,300.1047643
1342,297.3647024
1343,300.94018355
1344,301.29455485
1345,298.91470495
1346,304.1782638
1347,301.71480535
1348,295.5123495
1349,299.951420323
1350,300.309721285
1351,297.7570343
1352,303.8873117
1353,301.3894086
1354,296.7377999
1355,299.529247535
1356,300.208942155
1357,301.4645133
1358,299.986653044
1359,301.62429755
1360,301.8378071
1361,297.29526815
1362,296.6513218
1363,302.12537035
1364,300.6962007
1365,299.2255269
1366,298.5215657
1367,295.82236075
1368,302.46388885
1369,301.1045613
1370,300.55335085
1371,299.714532575
1372,301.3439725
1373,302.657035
1374,296.7673218
1375,297.0799152
1376,302.6869731
1377,302.4200306
1378,298.7392937
1379,298.73510475
1380,299.275232
1381,301.6603999
1382,303.89894495
1383,300.49283522
1384,299.9350749
1385,299.25632055
1386,296.70645855
1387,301.3094963
1388,299.1374474
1389,297.03113225
1390,302.9759452
1391,302.4015589
1392,300.355306515
1393,299.37499355
1394,296.49573635
1395,301.3065194
1396,303.61108055
1397,297.3059826
1398,299.710248195
1399,303.4976739
1400,298.5038744
1401,300.351809775
1402,299.99618268635
1403,296.69590005
1404,302.1667485
1405,298.3577332
1406,298.87000685
1407,302.44621225
1408,301.3757181
1409,300.07689795
1410,298.8234839
1411,301.86414515
1412,296.76945655
1413,301.12034805
1414,303.64549595
1415,297.22879315
1416,299.1928232
1417,302.39817875
1418,301.74956175
1419,303.6908502
1420,296.2902069
1421,295.9953082
1422,303.04138555
1423,301.5545126
1424,303.50453525
1425,301.52680825
1426,296.1537375
1427,299.0012054
1428,302.0043331
1429,301.9243801
1430,302.5341098
1431,298.81627125
1432,300.7673215
1433,304.6184638
1434,300.03509741
1435,299.930142395
1436,305.5237365
1437,304.7385271
1438,303.8038058
1439,301.5061871
1440,302.2841205
1441,307.205975
1442,307.0502945
1443,310.011664
1444,309.0323155
1445,308.0110085
1446,310.9339475
1447,307.665638
1448,307.2007455
1449,307.3644135
1450,298.67335325
1451,293.185832
1452,294.888315
1453,292.8515625
1454,286.230304
1455,287.220362
1456,293.021413
1457,294.905566
1458,294.753927
1459,293.3594685
1460,293.9634365
1461,295.76293775
1462,299.964128591
1463,296.61642505
1464,298.7284164
1465,296.91273985
1466,293.581296
1467,298.9770179
1468,297.69833945
1469,298.32716025
1470,301.07015235
1471,298.23406255
1472,298.8216574
1473,298.91308715
1474,299.09155745
1475,302.8680059
1476,298.81441525
1477,298.5433309
1478,302.23420665
1479,299.679326945
1480,296.70710825
1481,300.7017731
1482,298.98139765
1483,297.70607815
1484,301.66876685
1485,303.45214075
1486,298.96928145
1487,296.9277786
1488,300.218078745
1489,300.88881155
1490,301.13256795
1491,300.36933041
1492,299.309702
1493,295.8757183
1494,298.2663245
1495,301.16940125
1496,298.15059065
1497,301.8429354
1498,300.74127295
1499,297.13549795
1500,302.5028797
1501,300.6912674
1502,300.095934415
1503,301.6327493
1504,297.00888615
1505,297.59414035
1506,303.21217815
1507,300.8204479
1508,298.68430395
1509,299.42475665
1510,302.4180987
1511,302.07866475
1512,298.2855769
1513,298.27145525
1514,299.08826055
1515,301.3312926
1516,300.7201691
1517,298.71855875
1518,299.9853066995
1519,299.24818155
1520,300.143908055
1521,302.7731027
1522,299.4264994
1523,300.6965534
1524,300.19706332
1525,298.7605222
1526,300.495449885
1527,298.82884865
1528,297.4471286
1529,299.52910902
1530,303.5318747
1531,301.24867705
1532,297.69945665
1533,298.41343545
1534,302.11783265
1535,301.1845931
1536,300.21834217
1537,298.0293746
1538,297.93995325
1539,302.1826
1540,299.845273635
1541,301.7915556
1542,300.7874934
1543,301.2917324
1544,300.41037159
1545,297.26919855
1546,303.7040988
1547,301.62225505
1548,295.5846064
1549,298.4545098
1550,303.64140915
1551,301.69118305
1552,300.23925548
1553,298.4171293
1554,297.8007941
1555,302.9151119
1556,298.59433685
1557,300.6269362
1558,304.7491891
1559,300.07860001
1560,297.0517573
1561,299.5056318
1562,299.786565705
1563,302.24495005
1564,302.79530185
1565,297.784401
1566,301.78854525
1567,303.3009744
1568,300.58955605
1569,300.414075705
1570,300.6692757
1571,304.45077075
1572,303.8458515
1573,304.72760015
1574,304.97424235
1575,305.63226
1576,307.948941
1577,306.4871515
1578,308.1729825
1579,310.505125
1580,316.007943
1581,315.2129885
1582,307.421563
1583,297.44149135
1584,293.754132
1585,296.3416466
1586,291.1132075
1587,287.0529755
1588,294.1877705
1589,295.3839341
1590,294.8646895
1591,302.39184075000003
1592,304.1817697
1593,306.587364
1594,309.5347855
1595,315.1544915
1596,321.952664
1597,329.1281785
1598,335.4421135
1599,341.4536745
1600,349.7963975
1601,332.0460935
1602,298.31862865
1603,267.8121665
1604,249.545505
1605,252.71140350000002
1606,259.9817695
1607,270.1132575
1608,282.0545375
1609,281.96926
1610,285.930729
1611,290.3739355
1612,290.7795795
1613,295.9004275
1614,296.02922425
1615,296.6637849
1616,297.99912105
1617,297.0740998
1618,295.11306895
1619,298.36706335
1620,301.07858615
1621,296.42343925
1622,296.4388562
1623,300.45033505
1624,300.22085535
1625,300.577967
1626,298.65161275
1627,294.8368585
1628,302.4319089
1629,303.9078911
1630,297.2749104
1631,297.40965895
1632,298.35279085
1633,299.3877441
1634,300.366351005
1635,301.72167835
1636,298.9926676
1637,298.72911125
1638,302.9751684
1639,299.13449835
1640,297.7724724
1641,299.64403834
1642,300.67447915
1643,301.50040315
1644,298.5343762
1645,299.7205203
1646,299.4874719
1647,297.4938868
1648,300.99478365
1649,300.8381341
1650,301.7554787
