point_id,x_mm,y_mm,raman_shift_cm-1,intensity
P00,37.800,25.200,400.0000,39.290607
P00,37.800,25.200,404.0000,50.818431
P00,37.800,25.200,408.0000,28.313372
P00,37.800,25.200,412.0000,40.621723
P00,37.800,25.200,416.0000,36.158197
P00,37.800,25.200,420.0000,45.222051
P00,37.800,25.200,424.0000,36.805162
P00,37.800,25.200,428.0000,40.523526
P00,37.800,25.200,432.0000,37.716346
P00,37.800,25.200,436.0000,37.161027
P00,37.800,25.200,440.0000,46.567119
P00,37.800,25.200,444.0000,43.308428
P00,37.800,25.200,448.0000,39.695893
P00,37.800,25.200,452.0000,40.531332
P00,37.800,25.200,456.0000,35.673835
P00,37.800,25.200,460.0000,54.418825
P00,37.800,25.200,464.0000,35.711966
P00,37.800,25.200,468.0000,51.198316
P00,37.800,25.200,472.0000,42.515507
P00,37.800,25.200,476.0000,34.925620
P00,37.800,25.200,480.0000,50.192980
P00,37.800,25.200,484.0000,46.389135
P00,37.800,25.200,488.0000,39.344460
P00,37.800,25.200,492.0000,48.718606
P00,37.800,25.200,496.0000,48.571591
P00,37.800,25.200,500.0000,42.310636
P00,37.800,25.200,504.0000,36.637400
P00,37.800,25.200,508.0000,38.960607
P00,37.800,25.200,512.0000,43.792075
P00,37.800,25.200,516.0000,51.217043
P00,37.800,25.200,520.0000,46.905282
P00,37.800,25.200,524.0000,42.525782
P00,37.800,25.200,528.0000,46.326034
P00,37.800,25.200,532.0000,40.063640
P00,37.800,25.200,536.0000,55.778106
P00,37.800,25.200,540.0000,44.284608
P00,37.800,25.200,544.0000,41.784902
P00,37.800,25.200,548.0000,37.956769
P00,37.800,25.200,552.0000,34.941288
P00,37.800,25.200,556.0000,54.661378
P00,37.800,25.200,560.0000,47.227916
P00,37.800,25.200,564.0000,39.654274
P00,37.800,25.200,568.0000,59.787474
P00,37.800,25.200,572.0000,49.154450
P00,37.800,25.200,576.0000,46.642138
P00,37.800,25.200,580.0000,50.883008
P00,37.800,25.200,584.0000,48.527591
P00,37.800,25.200,588.0000,54.714159
P00,37.800,25.200,592.0000,69.255517
P00,37.800,25.200,596.0000,59.966784
P00,37.800,25.200,600.0000,69.900502
P00,37.800,25.200,604.0000,95.002484
P00,37.800,25.200,608.0000,123.043520
P00,37.800,25.200,612.0000,164.977415
P00,37.800,25.200,616.0000,303.303670
P00,37.800,25.200,620.0000,417.368849
