# laser_power_pct,1
# exposure_time,0.5
# mode,kinetic
frame_index,pixel_index,intensity
0,0,96
0,1,96
0,2,97
0,3,96
0,4,95
0,5,97
0,6,94
0,7,94
0,8,96
0,9,96
0,10,95
0,11,97
0,12,94
0,13,95
0,14,95
0,15,96
0,16,94
0,17,94
0,18,96
0,19,96
0,20,95
0,21,95
0,22,95
0,23,95
0,24,95
0,25,98
0,26,95
0,27,95
0,28,94
0,29,97
0,30,96
0,31,95
0,32,96
0,33,94
0,34,96
0,35,93
0,36,96
0,37,96
0,38,97
0,39,96
0,40,94
0,41,94
0,42,95
0,43,96
0,44,95
0,45,96
0,46,97
0,47,94
0,48,94
0,49,94
0,50,94
0,51,94
0,52,96
0,53,95
0,54,95
0,55,96
0,56,96
0,57,96
0,58,95
0,59,96
0,60,94
0,61,93
0,62,96
0,63,94
0,64,97
0,65,98
0,66,97
0,67,98
0,68,95
0,69,94
0,70,95
0,71,95
0,72,96
0,73,94
0,74,96
0,75,95
0,76,94
0,77,96
0,78,98
0,79,96
0,80,96
0,81,95
0,82,96
0,83,95
0,84,94
0,85,95
0,86,96
0,87,96
0,88,94
0,89,95
0,90,96
0,91,96
0,92,94
0,93,95
0,94,96
0,95,94
0,96,95
0,97,95
0,98,96
0,99,93
0,100,93
0,101,96
0,102,96
0,103,95
0,104,94
0,105,95
0,106,96
0,107,95
0,108,95
0,109,96
0,110,95
0,111,95
0,112,95
0,113,97
0,114,98
0,115,95
0,116,96
0,117,94
0,118,94
0,119,96
0,120,97
0,121,98
0,122,97
0,123,92
0,124,95
0,125,97
0,126,96
0,127,94
0,128,96
0,129,97
0,130,97
0,131,96
0,132,95
0,133,97
0,134,99
0,135,95
0,136,95
0,137,97
0,138,95
0,139,95
0,140,96
0,141,97
0,142,96
0,143,97
0,144,96
0,145,96
0,146,94
0,147,97
0,148,94
0,149,96
0,150,94
0,151,96
0,152,97
0,153,99
0,154,98
0,155,94
0,156,97
0,157,95
0,158,97
0,159,95
0,160,96
0,161,96
0,162,98
0,163,94
0,164,97
0,165,95
0,166,96
0,167,98
0,168,94
0,169,97
0,170,95
0,171,97
0,172,96
0,173,97
0,174,96
0,175,97
0,176,97
0,177,95
0,178,96
0,179,96
0,180,98
0,181,97
0,182,98
0,183,95
0,184,95
0,185,97
0,186,96
0,187,95
0,188,99
0,189,97
0,190,96
0,191,95
0,192,96
0,193,96
0,194,95
0,195,95
0,196,97
0,197,97
0,198,96
0,199,96
0,200,96
0,201,97
0,202,95
0,203,96
0,204,95
0,205,95
0,206,97
0,207,97
0,208,97
0,209,96
0,210,95
0,211,96
0,212,96
0,213,96
0,214,95
0,215,95
0,216,95
0,217,96
0,218,96
0,219,97
0,220,96
0,221,96
0,222,96
0,223,96
0,224,97
0,225,97
0,226,97
0,227,97
0,228,97
0,229,95
0,230,97
0,231,98
0,232,96
0,233,96
0,234,96
0,235,98
0,236,97
0,237,97
0,238,96
0,239,94
0,240,95
0,241,97
0,242,98
0,243,95
0,244,97
0,245,98
0,246,97
0,247,99
0,248,101
0,249,103
0,250,103
0,251,106
0,252,105
0,253,101
0,254,96
0,255,98
0,256,96
0,257,98
0,258,95
0,259,95
0,260,96
0,261,98
0,262,97
0,263,98
0,264,97
0,265,96
0,266,98
0,267,96
0,268,97
0,269,100
0,270,97
0,271,97
0,272,96
0,273,97
0,274,97
0,275,96
0,276,96
0,277,98
0,278,96
0,279,98
0,280,98
0,281,95
0,282,95
0,283,95
0,284,99
0,285,96
0,286,97
0,287,96
0,288,97
0,289,99
0,290,97
0,291,97
0,292,96
0,293,97
0,294,95
0,295,96
0,296,97
0,297,97
0,298,96
0,299,97
0,300,98
0,301,99
0,302,97
0,303,98
0,304,96
0,305,97
0,306,97
0,307,97
0,308,95
0,309,98
0,310,95
0,311,97
0,312,97
0,313,98
0,314,97
0,315,98
0,316,97
0,317,95
0,318,96
0,319,96
0,320,96
0,321,96
0,322,94
0,323,96
0,324,97
0,325,98
0,326,97
0,327,97
0,328,98
0,329,95
0,330,95
0,331,96
0,332,96
0,333,97
0,334,96
0,335,96
0,336,98
0,337,96
0,338,96
0,339,97
0,340,95
0,341,99
0,342,99
0,343,96
0,344,97
0,345,97
0,346,97
0,347,97
0,348,99
0,349,97
0,350,96
0,351,96
0,352,98
0,353,96
0,354,98
0,355,98
0,356,97
0,357,95
0,358,98
0,359,97
0,360,95
0,361,97
0,362,97
0,363,98
0,364,97
0,365,97
0,366,96
0,367,98
0,368,97
0,369,97
0,370,94
0,371,99
0,372,97
0,373,96
0,374,97
0,375,98
0,376,97
0,377,97
0,378,97
0,379,97
0,380,97
0,381,98
0,382,96
0,383,97
0,384,98
0,385,97
0,386,96
0,387,94
0,388,96
0,389,98
0,390,99
0,391,97
0,392,98
0,393,96
0,394,98
0,395,96
0,396,96
0,397,98
0,398,97
0,399,97
0,400,97
0,401,98
0,402,97
0,403,98
0,404,97
0,405,97
0,406,99
0,407,97
0,408,97
0,409,98
0,410,97
0,411,98
0,412,97
0,413,100
0,414,98
0,415,98
0,416,98
0,417,96
0,418,97
0,419,96
0,420,99
0,421,99
0,422,96
0,423,97
0,424,99
0,425,98
0,426,99
0,427,98
0,428,97
0,429,98
0,430,99
0,431,97
0,432,96
0,433,97
0,434,96
0,435,98
0,436,98
0,437,99
0,438,98
0,439,98
0,440,97
0,441,98
0,442,98
0,443,98
0,444,97
0,445,98
0,446,98
0,447,96
0,448,98
0,449,98
0,450,97
0,451,97
0,452,96
0,453,97
0,454,97
0,455,97
0,456,98
0,457,97
0,458,97
0,459,96
0,460,97
0,461,96
0,462,96
0,463,99
0,464,98
0,465,98
0,466,99
0,467,96
0,468,96
0,469,98
0,470,97
0,471,98
0,472,98
0,473,99
0,474,97
0,475,97
0,476,97
0,477,97
0,478,99
0,479,98
0,480,97
0,481,97
0,482,98
0,483,97
0,484,97
0,485,96
0,486,96
0,487,97
0,488,97
0,489,97
0,490,98
0,491,97
0,492,98
0,493,99
0,494,97
0,495,98
0,496,96
0,497,98
0,498,98
0,499,98
0,500,97
0,501,96
0,502,97
0,503,98
0,504,97
0,505,96
0,506,97
0,507,98
0,508,97
0,509,99
0,510,97
0,511,96
0,512,98
0,513,97
0,514,98
0,515,97
0,516,96
0,517,97
0,518,97
0,519,97
0,520,99
0,521,99
0,522,96
0,523,97
0,524,97
0,525,98
0,526,97
0,527,99
0,528,97
0,529,98
0,530,98
0,531,96
0,532,97
0,533,98
0,534,97
0,535,97
0,536,98
0,537,96
0,538,97
0,539,98
0,540,98
0,541,97
0,542,97
0,543,98
0,544,99
0,545,99
0,546,97
0,547,97
0,548,98
0,549,98
0,550,97
0,551,97
0,552,96
0,553,96
0,554,97
0,555,98
0,556,98
0,557,98
0,558,97
0,559,95
0,560,97
0,561,99
0,562,99
0,563,97
0,564,98
0,565,99
0,566,98
0,567,97
0,568,98
0,569,98
0,570,98
0,571,98
0,572,98
0,573,97
0,574,97
0,575,98
0,576,98
0,577,97
0,578,97
0,579,98
0,580,96
0,581,97
0,582,97
0,583,99
0,584,98
0,585,98
0,586,97
0,587,96
0,588,98
0,589,98
0,590,97
0,591,96
0,592,98
0,593,97
0,594,96
0,595,98
0,596,98
0,597,97
0,598,98
0,599,101
0,600,98
0,601,97
0,602,97
0,603,99
0,604,96
0,605,96
0,606,98
0,607,98
0,608,96
0,609,99
0,610,97
0,611,97
0,612,97
0,613,98
0,614,96
0,615,97
0,616,96
0,617,98
0,618,98
0,619,96
0,620,97
0,621,98
0,622,99
0,623,97
0,624,97
0,625,97
0,626,96
0,627,96
0,628,100
0,629,97
0,630,98
0,631,98
0,632,98
0,633,98
0,634,98
0,635,98
0,636,97
0,637,96
0,638,98
0,639,98
0,640,97
0,641,97
0,642,97
0,643,96
0,644,96
0,645,97
0,646,97
0,647,96
0,648,97
0,649,98
0,650,98
0,651,97
0,652,97
0,653,96
0,654,97
0,655,96
0,656,98
0,657,95
0,658,96
0,659,96
0,660,97
0,661,99
0,662,96
0,663,98
0,664,98
0,665,100
0,666,97
0,667,96
0,668,97
0,669,100
0,670,97
0,671,97
0,672,98
0,673,98
0,674,99
0,675,98
0,676,96
0,677,97
0,678,97
0,679,97
0,680,97
0,681,97
0,682,96
0,683,96
0,684,98
0,685,97
0,686,97
0,687,97
0,688,98
0,689,97
0,690,98
0,691,96
0,692,96
0,693,98
0,694,99
0,695,98
0,696,97
0,697,98
0,698,98
0,699,96
0,700,97
0,701,96
